ticket_id,title,description,category,resolution,priority,department,created_at
TKT-2024-00114,"Redis Cache Misses","STG-REDIS-01 cache misses after recent update. Restarted Redis instance.",Application,"redis-cli -h stg-redis-01 restart",P2,Application Support Team,"2024-03-25 15:50:00"
TKT-2024-00115,"Aurora Failover","Database instance failed over to standby. Checked logs for any errors.",Database,"aws rds failover --db-cluster-identifier my-db-cluster",P1,DBA,"2024-04-30 12:00:00"
TKT-2024-00116,"Zero-Day Patching","Ransomware containment initiated. Identified potential threats using Qualys.",Security,"ran ransomware containment script on affected servers",P3,SOC,"2024-05-15 18:15:00"
TKT-2024-00117,"MTU Black Hole","Network issue identified. Fixed MTU setting using ip link command.",Network,"ip link set eth0 mtu 1400",P3,NOC,"2024-06-20 13:30:00"
TKT-2024-00118,"BGP Route Leak","Detected BGP route leak. Corrected using BGP commands.",Network,"bgpctl -c 'update ip 192.168.1.0/24 next-hop 10.0.0.1'" ,P3,NOC,"2024-07-25 17:45:00"
TKT-2024-00119,"WAF Rule Tuning","WAF rules need tuning to block malicious traffic.",Security,"Updated WAF rules using AWS WAF console",P2,SOC,"2024-08-31 11:15:00"
TKT-2024-00120,"Traceroute Anomalies","Traceroute anomalies detected. Investigated and fixed routing issues.",Network,"traceroute myserver.com",P3,NOC,"2024-09-16 14:50:00"
TKT-2024-00121,"GRPC Timeouts","gRPC request timed out. Checked server logs for errors.",Application,"grpc_cli call myserver service.method",P2,Application Support Team,"2024-10-21 18:25:00"
TKT-2024-00122,"SIEM Correlation","Investigate alert in SIEM. Found root cause using Datadog.",Security,"datadog-cli query 'sum:system.cpu.usage{environment:production}'",P2,SOC,"2024-11-30 17:15:00"
TKT-2024-00123,"Phishing Campaigns","Multiple phishing emails detected. Updated security policies.",Security,"Updated phishing filters in Exchange Online",P3,SOC,"2024-12-06 18:45:00"
TKT-2024-00124,"S3 Bucket Policies","Incorrect S3 bucket policy allowed unauthorized access. Updated policy.",Infrastructure,"aws s3api put-bucket-policy --bucket my-bucket --policy file://policy.json",P3,Cloud Platform Engineering,"2024-01-16 10:55:00"
TKT-2024-00125,"Blue-Green Deploy Failures","Deployment failed. Fixed deployment script.",Application,"Fixed typo in blue-green-deploy.sh",P4,Application Support Team,"2024-02-21 13:15:00"
TKT-2024-00126,"Redis Cache Misses","STG-REDIS-01 cache misses after recent update. Restarted Redis instance.",Application,"redis-cli -h stg-redis-01 restart",P2,Application Support Team,"2024-03-26 17:35:00"
TKT-2024-00127,"Aurora Failover","Database instance failed over to standby. Checked logs for any errors.",Database,"aws rds failover --db-cluster-identifier my-db-cluster",P1,DBA,"2024-04-31 14:05:00"
TKT-2024-00128,"Zero-Day Patching","Ransomware containment initiated. Identified potential threats using Qualys.",Security,"ran ransomware containment script on affected servers",P3,SOC,"2024-05-16 19:20:00"
TKT-2024-00129,"MTU Black Hole","Network issue identified. Fixed MTU setting using ip link command.",Network,"ip link set eth0 mtu 1400",P3,NOC,"2024-06-21 14:45:00"
TKT-2024-00130,"BGP Route Leak","Detected BGP route leak. Corrected using BGP commands.",Network,"bgpctl -c 'update ip 192.168.1.0/24 next-hop 10.0.0.1'" ,P3,NOC,"2024-07-26 18:55:00"
TKT-2024-00131,"WAF Rule Tuning","WAF rules need tuning to block malicious traffic.",Security,"Updated WAF rules using AWS WAF console",P2,SOC,"2024-08-31 12:25:00"
TKT-2024-00132,"Traceroute Anomalies","Traceroute anomalies detected. Investigated and fixed routing issues.",Network,"traceroute myserver.com",P3,NOC,"2024-09-17 16:55:00"
TKT-2024-00133,"GRPC Timeouts","gRPC request timed out. Checked server logs for errors.",Application,"grpc_cli call myserver service.method",P2,Application Support Team,"2024-10-22 20:25:00"
TKT-2024-00134,"SIEM Correlation","Investigate alert in SIEM. Found root cause using Datadog.",Security,"datadog-cli query 'sum:system.cpu.usage{environment:production}'",P2,SOC,"2024-11-30 19:35:00"
TKT-2024-00135,"Phishing Campaigns","Multiple phishing emails detected. Updated security policies.",Security,"Updated phishing filters in Exchange Online",P3,SOC,"2024-12-07 21:00:00"
TKT-2024-00136,"S3 Bucket Policies","Incorrect S3 bucket policy allowed unauthorized access. Updated policy.",Infrastructure,"aws s3api put-bucket-policy --bucket my-bucket --policy file://policy.json",P3,Cloud Platform Engineering,"2024-01-17 11:15:00"
TKT-2024-00137,"Blue-Green Deploy Failures","Deployment failed. Fixed deployment script.",Application,"Fixed typo in blue-green-deploy.sh",P4,Application Support Team,"2024-02-22 14:35:00"
TKT-2024-00138,"Redis Cache Misses","STG-REDIS-01 cache misses after recent update. Restarted Redis instance.",Application,"redis-cli -h stg-redis-01 restart",P2,Application Support Team,"2024-03-27 19:50:00"
TKT-2024-00139,"Aurora Failover","Database instance failed over to standby. Checked logs for any errors.",Database,"aws rds failover --db-cluster-identifier my-db-cluster",P1,DBA,"2024-04-30 16:25:00"
TKT-2024-00140,"Zero-Day Patching","Ransomware containment initiated. Identified potential threats using Qualys.",Security,"ran ransomware containment script on affected servers",P3,SOC,"2024-05-17 21:45:00"
TKT-2024-00141,"MTU Black Hole","Network issue identified. Fixed MTU setting using ip link command.",Network,"ip link set eth0 mtu 1400",P3,NOC,"2024-06-22 16:55:00"
TKT-2024-00142,"BGP Route Leak","Detected BGP route leak. Corrected using BGP commands.",Network,"bgpctl -c 'update ip 192.168.1.0/24 next-hop 10.0.0.1'" ,P3,NOC,"2024-07-27 21:05:00"
TKT-2024-00143,"WAF Rule Tuning","WAF rules need tuning to block malicious traffic.",Security,"Updated WAF rules using AWS WAF console",P2,SOC,"2024-08-31 13:35:00"
TKT-2024-00144,"Traceroute Anomalies","Traceroute anomalies detected. Investigated and fixed routing issues.",Network,"traceroute myserver.com",P3,NOC,"2024-09-18 17:55:00"
TKT-2024-00145,"GRPC Timeouts","gRPC request timed out. Checked server logs for errors.",Application,"grpc_cli call myserver service.method",P2,Application Support Team,"2024-10-23 22:25:00"
TKT-2024-00146,"SIEM Correlation","Investigate alert in SIEM. Found root cause using Datadog.",Security,"datadog-cli query 'sum:system.cpu.usage{environment:production}'",P2,SOC,"2024-11-30 20:55:00"
TKT-2024-00147,"Phishing Campaigns","Multiple phishing emails detected. Updated security policies.",Security,"Updated phishing filters in Exchange Online",P3,SOC,"2024-12-08 23:00:00"
TKT-2024-00148,"S3 Bucket Policies","Incorrect S3 bucket policy allowed unauthorized access. Updated policy.",Infrastructure,"aws s3api put-bucket-policy --bucket my-bucket --policy file://policy.json",P3,Cloud Platform Engineering,"2024-01-18 12:25:00"
TKT-2024-00149,"Blue-Green Deploy Failures","Deployment failed. Fixed deployment script.",Application,"Fixed typo in blue-green-deploy.sh",P4,Application Support Team,"2024-02-23 15:45:00"
TKT-2024-00150,"Redis Cache Misses","STG-REDIS-01 cache misses after recent update. Restarted Redis instance.",Application,"redis-cli -h stg-redis-01 restart",P2,Application Support Team,"2024-03-28 20:05:00"
